game_id,date,home_team,away_team,home_odds,away_odds
CURR_BL_01,2026-09-04,VfB Stuttgart,1. FC Köln,2.0,2.0
CURR_BL_02,2026-09-05,SV Werder Bremen,RB Leipzig,2.0,2.0
CURR_BL_03,2026-09-05,TSG 1899 Hoffenheim,Borussia Dortmund,2.0,2.0
CURR_BL_04,2026-09-05,Bayer 04 Leverkusen,1. FC Union Berlin,2.0,2.0
CURR_BL_05,2026-09-05,Borussia Mönchengladbach,SV 07 Elversberg,2.0,2.0
CURR_BL_06,2026-09-05,SC Paderborn 07,SC Freiburg,2.0,2.0
CURR_BL_07,2026-09-05,FC Schalke 04,FC Bayern München,2.0,2.0
CURR_BL_08,2026-09-06,Hamburger SV,1. FSV Mainz 05,2.0,2.0
CURR_BL_09,2026-09-06,Eintracht Frankfurt,FC Augsburg,2.0,2.0
CURR_BL_10,2026-09-11,1. FC Union Berlin,FC Schalke 04,2.0,2.0
CURR_BL_11,2026-09-12,TSG 1899 Hoffenheim,VfB Stuttgart,2.0,2.0
CURR_BL_12,2026-09-12,Borussia Dortmund,SC Paderborn 07,2.0,2.0
CURR_BL_13,2026-09-12,FC Augsburg,Bayer 04 Leverkusen,2.0,2.0
CURR_BL_14,2026-09-12,1. FSV Mainz 05,Eintracht Frankfurt,2.0,2.0
CURR_BL_15,2026-09-12,SC Freiburg,Borussia Mönchengladbach,2.0,2.0
CURR_BL_16,2026-09-12,1. FC Köln,SV Werder Bremen,2.0,2.0
CURR_BL_17,2026-09-13,RB Leipzig,Hamburger SV,2.0,2.0
CURR_BL_18,2026-09-13,SV 07 Elversberg,FC Bayern München,2.0,2.0
CURR_BL_19,2026-09-18,FC Bayern München,1. FC Union Berlin,2.0,2.0
CURR_BL_20,2026-09-19,Hamburger SV,1. FC Köln,2.0,2.0
CURR_BL_21,2026-09-19,Borussia Mönchengladbach,1. FSV Mainz 05,2.0,2.0
CURR_BL_22,2026-09-19,SV Werder Bremen,FC Augsburg,2.0,2.0
CURR_BL_23,2026-09-19,Eintracht Frankfurt,SC Freiburg,2.0,2.0
CURR_BL_24,2026-09-19,VfB Stuttgart,Borussia Dortmund,2.0,2.0
CURR_BL_25,2026-09-20,Bayer 04 Leverkusen,RB Leipzig,2.0,2.0
CURR_BL_26,2026-09-20,FC Schalke 04,SV 07 Elversberg,2.0,2.0
CURR_BL_27,2026-09-20,SC Paderborn 07,TSG 1899 Hoffenheim,2.0,2.0
CURR_BL_28,2026-10-10,1. FSV Mainz 05,Bayer 04 Leverkusen,2.0,2.0
CURR_BL_29,2026-10-10,SC Paderborn 07,VfB Stuttgart,2.0,2.0
CURR_BL_30,2026-10-10,1. FC Köln,Borussia Mönchengladbach,2.0,2.0
CURR_BL_31,2026-10-10,RB Leipzig,Eintracht Frankfurt,2.0,2.0
CURR_BL_32,2026-10-10,SC Freiburg,FC Schalke 04,2.0,2.0
CURR_BL_33,2026-10-10,1. FC Union Berlin,SV 07 Elversberg,2.0,2.0
CURR_BL_34,2026-10-10,TSG 1899 Hoffenheim,Hamburger SV,2.0,2.0
CURR_BL_35,2026-10-10,FC Augsburg,FC Bayern München,2.0,2.0
CURR_BL_36,2026-10-10,Borussia Dortmund,SV Werder Bremen,2.0,2.0
CURR_BL_37,2026-10-17,1. FC Union Berlin,Borussia Dortmund,2.0,2.0
CURR_BL_38,2026-10-17,Hamburger SV,VfB Stuttgart,2.0,2.0
CURR_BL_39,2026-10-17,SV Werder Bremen,SC Paderborn 07,2.0,2.0
CURR_BL_40,2026-10-17,SV 07 Elversberg,FC Augsburg,2.0,2.0
CURR_BL_41,2026-10-17,FC Bayern München,RB Leipzig,2.0,2.0
