game_id,date,home_team,away_team,home_odds,away_odds,home_score,away_score
BL2019_01_01,2019-08-16,Borussia Dortmund,Bayer Leverkusen,1.70,4.50,5,1
BL2019_01_02,2019-08-17,Bayern Munich,Hertha Berlin,1.22,11.00,2,2
BL2019_01_03,2019-08-17,RB Leipzig,Union Berlin,1.40,7.50,4,0
BL2019_01_04,2019-08-17,Wolfsburg,Cologne,1.90,3.80,1,1
BL2019_01_05,2019-08-17,Freiberg,Mainz,2.20,3.20,3,0
BL2019_01_06,2019-08-17,Hoffenheim,Verona,1.80,4.00,3,2
BL2019_01_07,2019-08-18,Schalke 04,Hertha BSC,1.75,4.20,2,1
BL2019_01_08,2019-08-18,Augsburg,Dusseldorf,2.10,3.40,1,1
BL2019_01_09,2019-08-18,Paderborn,PSV,2.60,2.70,1,2
BL2019_02_01,2019-08-24,Bayer Leverkusen,Borussia Dortmund,2.40,2.90,2,3
BL2019_02_02,2019-08-24,Hertha Berlin,RB Leipzig,3.60,2.00,1,4
BL2019_02_03,2019-08-24,Union Berlin,Wolfsburg,2.50,2.80,1,1
BL2019_02_04,2019-08-24,Cologne,Freiberg,2.20,3.20,1,0
BL2019_02_05,2019-08-24,Mainz,Hoffenheim,2.70,2.60,2,3
BL2019_02_06,2019-08-25,Verona,Schalke 04,3.00,2.30,0,1
BL2019_02_07,2019-08-25,Hertha BSC,Augsburg,2.30,3.10,2,2
BL2019_02_08,2019-08-25,Dusseldorf,Paderborn,1.90,3.80,3,1
BL2019_03_01,2019-08-31,Borussia Dortmund,Hertha Berlin,1.45,6.50,1,0
BL2019_03_02,2019-08-31,Bayern Munich,Mainz,1.25,9.50,6,1
BL2019_03_03,2019-08-31,RB Leipzig,Union Berlin,1.35,8.00,1,1
BL2019_03_04,2019-08-31,Wolfsburg,Cologne,1.85,4.00,1,1
BL2019_03_05,2019-08-31,Freiberg,Verona,1.95,3.70,1,0
BL2019_03_06,2019-09-01,Hoffenheim,Dusseldorf,1.65,5.00,3,2
BL2019_03_07,2019-09-01,Schalke 04,Augsburg,1.80,4.20,3,0
BL2019_03_08,2019-09-01,Paderborn,Hertha BSC,2.40,3.00,1,2
BL2020_01_01,2020-09-18,Bayern Munich,Schalke 04,1.20,12.00,8,0
BL2020_01_02,2020-09-19,Borussia Dortmund,Monchengladbach,1.60,5.50,3,0
BL2020_01_03,2020-09-19,RB Leipzig,Mainz,1.35,8.50,3,1
BL2020_01_04,2020-09-19,Bayer Leverkusen,Wolfsburg,1.75,4.50,1,1
BL2020_01_05,2020-09-19,Union Berlin,Augsburg,2.00,3.60,3,1
BL2020_01_06,2020-09-20,Freiberg,Hoffenheim,2.60,2.70,1,1
BL2020_01_07,2020-09-20,Stuttgart,Dortmund II,2.20,3.30,2,3
BL2020_01_08,2020-09-20,Arminia Bielefeld,Hertha Berlin,2.50,2.90,1,0
BL2020_02_01,2020-09-26,Schalke 04,Bayer Leverkusen,3.80,1.95,1,1
BL2020_02_02,2020-09-26,Monchengladbach,RB Leipzig,2.90,2.40,1,1
